id,price,accommodates,host_total_listings_count,bedrooms,calculated_host_listings_count,host_is_superhost,neighbour
27119413,20,2,2,1,2,f,Lewisham
27123873,20,2,2,1,2,f,Lewisham
27199252,20,1,2,1,2,f,Bexley
27216526,20,2,2,1,1,f,Waltham Forest
29069910,20,1,2,1,2,t,Barnet
29449990,20,1,2,1,2,f,Hackney
29643781,20,1,2,1,2,f,Ealing
29905937,20,1,2,1,2,t,Barking and Dagenham
30144203,20,1,2,1,1,f,Haringey
30219065,20,1,2,1,2,f,Kingston upon Thames
30240850,20,2,2,1,1,f,Hackney
30754556,20,2,2,1,1,f,Hammersmith and Fulham
31469183,20,1,2,1,2,f,Harrow
32209487,20,1,2,1,2,t,Ealing
32668735,20,1,2,1,2,f,Waltham Forest
33586464,20,1,2,1,2,t,Haringey
33588739,20,1,2,1,2,t,Kensington and Chelsea
34299209,20,2,2,1,1,t,Lewisham
34652160,20,2,2,1,1,f,Hackney
35494168,20,1,2,1,1,f,Waltham Forest
35825237,20,1,2,1,2,f,Haringey
36108231,20,1,2,1,1,f,Bexley
36312863,20,1,2,1,2,f,Lewisham
36343768,20,1,2,1,1,f,Tower Hamlets
36415656,20,1,2,1,5,f,Sutton
37230822,20,1,2,1,1,f,Croydon
38198681,20,2,2,1,2,f,Enfield
39066248,20,1,2,1,2,f,Lewisham
39184255,20,1,2,1,2,f,Newham
39691828,20,1,2,1,2,f,Redbridge
39817724,20,1,2,1,1,f,Barking and Dagenham
39823273,20,2,2,1,2,f,Camden
40167066,20,1,2,1,2,t,Kensington and Chelsea
40521437,20,1,2,1,2,f,Hackney
40634741,20,1,2,1,2,t,Greenwich
41014845,20,1,2,1,1,f,Lewisham
41227712,20,1,2,1,3,f,Barking and Dagenham
41307560,20,1,2,1,2,f,Lambeth
41311243,20,2,2,1,1,f,Haringey
41368040,20,1,2,1,2,f,Wandsworth
41831456,20,2,2,1,2,f,Redbridge
42187026,20,1,2,1,5,f,Sutton
42769177,20,2,2,1,1,f,Haringey
43953736,20,1,2,1,1,f,Lambeth
44030883,20,2,2,1,1,f,Barking and Dagenham
44556328,20,1,2,1,1,f,Redbridge
45132735,20,1,2,1,2,f,Lewisham
45159157,20,1,2,1,4,f,Hounslow
45320345,20,1,2,1,2,f,Lambeth
45326946,20,1,2,1,4,t,Brent
45748314,20,1,2,1,2,f,Bromley
45912563,20,1,2,1,2,f,Barnet
46351531,20,1,2,1,2,f,Brent
46707896,20,1,2,1,2,f,Westminster
46988104,20,2,2,1,2,f,Croydon
20002844,20,1,2,2,2,f,Enfield
20545506,20,3,2,2,2,t,Haringey
30096159,20,5,2,2,2,f,Waltham Forest
41984485,20,2,2,2,5,f,Sutton
1571980,20,2,3,1,3,t,Tower Hamlets
3370472,20,1,3,1,1,f,Waltham Forest
5752805,20,1,3,1,3,f,Lewisham
7015495,20,1,3,1,3,f,Waltham Forest
7827895,20,1,3,1,2,f,Redbridge
10277639,20,1,3,1,3,t,Tower Hamlets
12997016,20,1,3,1,2,f,Hounslow
13606215,20,2,3,1,3,t,Barking and Dagenham
15278086,20,1,3,1,3,t,Ealing
16159240,20,1,3,1,1,f,Tower Hamlets
16204282,20,1,3,1,3,f,Kensington and Chelsea
16910571,20,1,3,1,3,f,Barking and Dagenham
17487071,20,1,3,1,2,t,Lewisham
17709707,20,1,3,1,3,f,Lewisham
17987684,20,2,3,1,3,t,Islington
18679593,20,1,3,1,2,t,Hillingdon
20081340,20,1,3,1,2,f,Barking and Dagenham
21183519,20,1,3,1,3,f,Barking and Dagenham
21195568,20,1,3,1,3,f,Barking and Dagenham
21451774,20,2,3,1,3,f,Croydon
22315644,20,1,3,1,3,f,Lewisham
22889881,20,2,3,1,1,f,Waltham Forest
23220437,20,1,3,1,3,f,Barnet
23767245,20,1,3,1,3,t,Newham
24974814,20,2,3,1,3,f,Croydon
26837885,20,1,3,1,3,f,Newham
27505969,20,1,3,1,2,t,Lewisham
27715593,20,1,3,1,3,f,Harrow
29070901,20,1,3,1,3,f,Croydon
29870325,20,2,3,1,3,t,Barnet
31583137,20,1,3,1,3,f,Brent
31627721,20,1,3,1,3,f,Haringey
32720297,20,2,3,1,2,f,Havering
34206026,20,1,3,1,3,f,Tower Hamlets
34825244,20,1,3,1,3,t,Croydon
35564386,20,2,3,1,3,f,Lambeth
35649556,20,1,3,1,2,f,Hackney
36484251,20,1,3,1,2,f,Barking and Dagenham
37675596,20,2,3,1,3,t,Kingston upon Thames
37928868,20,2,3,1,1,f,Southwark
38498511,20,1,3,1,3,t,Bexley
38874216,20,1,3,1,3,f,Croydon
38897182,20,1,3,1,3,f,Bexley
38905721,20,1,3,1,1,f,Barnet
38967870,20,1,3,1,3,f,Sutton
39123656,20,2,3,1,3,f,Newham
39394231,20,1,3,1,3,t,Bexley
39744489,20,2,3,1,3,f,Bromley
40340602,20,2,3,1,3,f,Redbridge
41224389,20,1,3,1,3,t,Harrow
42163390,20,1,3,1,1,f,Ealing
43370811,20,1,3,1,2,f,Haringey
43979332,20,2,3,1,5,f,Tower Hamlets
43995757,20,1,3,1,2,f,Lambeth
45026740,20,1,3,1,2,f,Waltham Forest
45230238,20,1,3,1,3,f,Barking and Dagenham
45678606,20,2,3,1,1,f,Camden
45812263,20,1,3,1,3,f,Tower Hamlets
46105671,20,1,3,1,3,f,Barnet
46875549,20,1,3,1,3,f,Ealing
341779,20,2,4,1,3,f,Croydon
556306,20,1,4,1,4,f,Lewisham
920932,20,1,4,1,5,f,Croydon
4332039,20,1,4,1,5,f,Newham
4748665,20,1,4,1,5,f,Newham
4880123,20,1,4,1,2,f,Greenwich
8610183,20,1,4,1,1,f,Southwark
10738655,20,3,4,1,3,f,Brent
12958731,20,1,4,1,4,t,Newham
13800931,20,2,4,1,4,f,Hillingdon
13877904,20,2,4,1,4,f,Hillingdon
16068762,20,2,4,1,4,f,Hillingdon
18284509,20,2,4,1,4,t,Redbridge
19647870,20,2,4,1,1,f,Barking and Dagenham
20607270,20,2,4,1,5,f,Newham
21443663,20,1,4,1,3,f,Brent
21744914,20,1,4,1,5,f,Newham
24439780,20,1,4,1,4,f,Westminster
25418421,20,1,4,1,4,f,Barking and Dagenham
27252265,20,1,4,1,4,t,Lambeth
27327747,20,1,4,1,2,f,Barking and Dagenham
30762258,20,2,4,1,5,f,Newham
31108352,20,1,4,1,4,f,Lewisham
33706803,20,1,4,1,4,f,Camden
36745383,20,1,4,1,4,f,Hounslow
38198422,20,1,4,1,1,f,Ealing
42503307,20,2,4,1,3,t,Lambeth
42668544,20,2,4,1,5,t,Westminster
43940812,20,1,4,1,1,f,Haringey
46150630,20,1,4,1,3,f,Newham
22152920,20,2,4,2,4,t,Southwark
1389298,20,2,5,1,3,f,Sutton
3689527,20,2,5,1,5,f,Bromley
6999987,20,1,5,1,5,t,Greenwich
10647121,20,1,5,1,5,t,Greenwich
13908309,20,6,5,1,5,f,Hammersmith and Fulham
14445017,20,6,5,1,5,f,Hammersmith and Fulham
14609628,20,6,5,1,5,f,Hammersmith and Fulham
14609741,20,12,5,1,5,f,Hammersmith and Fulham
16206793,20,2,5,1,5,f,Hackney
17617684,20,2,5,1,5,f,Hackney
19036272,20,2,5,1,5,f,Newham
19944005,20,1,5,1,2,t,Haringey
21148483,20,2,5,1,6,f,Barking and Dagenham
21630699,20,1,5,1,4,t,Greenwich
23759454,20,2,5,1,5,f,Tower Hamlets
25528486,20,1,5,1,5,t,Croydon
25655643,20,2,5,1,5,f,Tower Hamlets
27457009,20,1,5,1,5,f,Ealing
28127267,20,1,5,1,5,t,Greenwich
29605148,20,1,5,1,4,t,Greenwich
30306070,20,1,5,1,4,f,Hillingdon
31349589,20,3,5,1,5,f,Hackney
32499784,20,1,5,1,4,f,Croydon
38086924,20,2,5,1,5,f,Islington
39100123,20,2,5,1,5,f,Islington
39200969,20,2,5,1,5,f,Islington
40009251,20,1,5,1,5,t,Croydon
41102233,20,2,5,1,4,f,Croydon
41792150,20,10,5,1,6,f,Southwark
42723265,20,2,5,1,6,f,Greenwich
